PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,RatingBin,BestMove,A,B,C,D
8tFH1,2b1r1k1/5ppp/8/3p3P/1Q6/2N2P2/PPP3P1/1K2R3 b - - 0 25,h1e1 e8e1 c3d1 e1d1,411,90,100,57,backRankMate endgame mate mateIn2 short,https://lichess.org/nHrVUtW8#49,,"(400, 500]",e8e1,g7g6,e8e1,c8e6,e8e6
9egHY,8/8/8/8/8/4k2r/6R1/4K3 b - - 18 70,d2g2 h3h1 g2g1 h1g1,411,93,100,262,endgame mate mateIn2 rookEndgame short,https://lichess.org/IPXxV6G2#139,,"(400, 500]",h3h1,h3h2,h3h1,h3h8,h3g3
AEWQg,6k1/6P1/2b2KPP/8/8/8/8/8 w - - 1 75,h7g8 h6h7,411,90,100,426,advancedPawn bishopEndgame endgame mate mateIn1 oneMove,https://lichess.org/XIlCmYAT/black#148,,"(400, 500]",h6h7,f6e6,f6e7,h6h7,f6f5
Art12,3R4/pp3Bpk/7p/4P2P/5b2/2r5/P5P1/7K b - - 0 32,e6f7 c3c1 d8d1 c1d1,411,89,100,275,endgame master mate mateIn2 short,https://lichess.org/1NcH2jqz#63,,"(400, 500]",c3c1,c3c8,c3c1,a7a5,c3b3
BQr2h,3r2k1/1pb2ppp/4q3/4p3/1P6/P3PPP1/3Q2KP/3R4 w - - 0 30,d6c7 d2d8 c7d8 d1d8 e6e8 d8e8,411,94,100,58,backRankMate endgame long mate mateIn3,https://lichess.org/JCXpQh50/black#58,,"(400, 500]",d2d8,b4b5,d1c1,d2d8,d2e1
BzAwE,R7/1p1kp1Bp/p3q1p1/8/8/2NB4/PP4PP/7K b - - 0 28,f8a8 e6e1 d3f1 e1f1,411,94,100,110,endgame mate mateIn2 short,https://lichess.org/Z4sfBfkI#55,,"(400, 500]",e6e1,e6c4,e6e1,e6f6,e6f7
CX4jm,8/2q2ppk/4p1b1/pp1pP2p/3R4/PN2Q2P/1PN2PP1/2K5 b - - 1 30,b4c2 c7c2,411,96,100,619,endgame mate mateIn1 oneMove queensideAttack,https://lichess.org/QDeWjVXf#59,,"(400, 500]",c7c2,c7b8,c7a7,c7d8,c7c2
Cjtss,2r3k1/1Q4pp/8/8/8/p2Pb3/P3B3/2NK1R2 b - - 0 37,b3c1 c8c1,411,87,100,311,endgame mate mateIn1 oneMove,https://lichess.org/EQDLqovf#73,,"(400, 500]",c8c1,e3b6,g7g6,c8c1,c8d8
GJE2Q,4r1k1/p1p2r1p/1p1p3B/2nq3p/5P2/6P1/PP5P/R3R1K1 w - - 0 30,a8e8 e1e8 f7f8 e8f8,411,93,100,405,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/0EWQkyV8/black#58,,"(400, 500]",e1e8,g1f1,e1e8,h6g7,f4f5
2zxDF,r1br2k1/pp1q1pp1/4p3/2p4Q/3P3R/8/PPP3PP/R5K1 w - - 2 18,f8d8 h5h8,501,84,100,292,mate mateIn1 middlegame oneMove,https://lichess.org/8K0YPbNQ/black#34,Blackmar-Diemer_Gambit Blackmar-Diemer_Gambit_Euwe_Defense,"(500, 600]",h5h8,h5h8,h4f4,h5g4,g2g4
3zcT3,7k/1p2qp1p/p1pbrp2/5N2/1P1P2Q1/P6P/5PP1/R5K1 b - - 8 24,h4f5 e6e1 a1e1 e7e1,501,81,100,188,endgame kingsideAttack mate mateIn2 short,https://lichess.org/01tX5dxi#47,,"(500, 600]",e6e1,e6e1,a6a5,c6c5,d6f4
5lWBW,2r1r2k/6Rp/p1n3pP/1p3p2/8/B1N5/PPP5/1K3B1R b - - 5 26,b4a3 e8e1 c3d1 e1d1,501,85,100,235,backRankMate mate mateIn2 middlegame short,https://lichess.org/Ocyb57Gx#51,,"(500, 600]",e8e1,e8e1,c6e5,e8e5,c8a8
5ryqx,3rr1k1/1pq2ppp/p1p2bb1/5p2/1P1P4/2PB3P/P2BQ1P1/4RRK1 w - - 0 20,e6f5 e2e8 d8e8 e1e8,501,86,100,298,backRankMate mate mateIn2 middlegame short,https://lichess.org/HqWjJLmw/black#38,,"(500, 600]",e2e8,e2f2,e2e8,e1c1,g2g3
8H8HV,2r3k1/5pp1/p3p3/1p6/4nP2/3R4/PP6/K1R5 b - - 0 32,d1c1 c8c1,501,81,100,662,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/oTWa9Jqz#63,,"(500, 600]",c8c1,g7g5,c8c1,c8e8,e4g5
8lLVW,b3r3/R4pkp/6p1/8/2p1pQP1/2P2nNB/P2r4/5R1K b - - 0 35,g2h3 d2h2,501,88,100,454,arabianMate mate mateIn1 middlegame oneMove,https://lichess.org/mmEpey7S#69,,"(500, 600]",d2h2,d2f2,f3e5,g6g5,d2h2
9D8JI,3R2rk/p4Q1p/1p6/8/8/4q3/PPP5/1K6 w - - 2 32,g7g8 d8g8,501,90,100,313,endgame mate mateIn1 oneMove,https://lichess.org/OAVqYxam/black#62,,"(500, 600]",d8g8,d8g8,d8d5,f7e6,f7b7
AW7sb,r3r1k1/pp3ppp/1q6/5p2/1P1n1P2/P3RB1P/4QPP1/5RK1 w - - 7 22,c6d4 e3e8 a8e8 e2e8,501,87,100,219,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/r1yVA5LT/black#42,,"(500, 600]",e3e8,e3e5,f3d5,e3e7,e3e8
BGhKk,5rk1/p2r3p/2p1RppQ/8/8/5P2/PP3P1P/K7 b - - 0 27,e1e6 d7d1 h6c1 d1c1,501,89,100,129,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/w5Z5pJ5e#53,,"(500, 600]",d7d1,d7d4,d7d8,d7d6,d7d1
EyEaW,3r3k/p3Q2p/6p1/2N5/2pb4/1P1q4/P5PP/5R1K b - - 5 27,g1h1 d3f1,501,82,100,196,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/gRrrZAeF#53,,"(500, 600]",d3f1,d4b2,a7a5,d8d7,d3f1
F3goE,6k1/6p1/6P1/3qP3/8/1pQ3K1/p7/8 w - - 0 43,a3a2 c3c8 d5d8 c8d8,501,89,100,197,endgame mate mateIn2 queenEndgame short,https://lichess.org/ea1doqTf/black#84,,"(500, 600]",c3c8,c3b3,c3c7,c3c8,c3a1
FzSKE,7k/6p1/3r2Pp/R7/8/2K5/8/8 w - - 1 46,d8d6 a5a8 d6d8 a8d8,501,86,100,1469,endgame mate mateIn2 rookEndgame short,https://lichess.org/eAaIKxFA/black#90,,"(500, 600]",a5a8,c3b3,a5a1,a5f5,a5a8
G2t2d,2r2rk1/1p3ppp/p1b1p3/q1PpP3/3Q4/1P1R4/P1P2PPP/RN4K1 b - - 4 17,a3b1 a5e1,501,90,100,563,mate mateIn1 middlegame oneMove,https://lichess.org/gdW2gwC7#33,French_Defense French_Defense_Advance_Variation,"(500, 600]",a5e1,a5e1,a5b5,c8b8,c6d7
HHxEQ,3r1rk1/pp3pbp/2N3p1/2P1p3/4p1b1/1PP1P1P1/PB3P1P/RN2K2R b KQ - 0 13,d4c6 d8d1,501,85,100,427,mate mateIn1 middlegame oneMove,https://lichess.org/VdAgJIdY#25,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Indian_Variation,"(500, 600]",d8d1,d8d1,d8e8,g7h6,g4d1
I0mii,2k4r/ppp1R1p1/8/8/PP3Bp1/2Pr4/5PP1/RN4K1 b - - 1 20,c1f4 d3d1 e7e1 d1e1,501,86,100,222,endgame mate mateIn2 short,https://lichess.org/qVqGmbDi#39,,"(500, 600]",d3d1,d3d4,h8d8,d3c3,d3d1
0ejGI,r5kr/1b2b1p1/p3Nn1p/1p2q3/6Q1/P1NB4/1PP3PP/R6K w - - 2 20,d7f6 g4g7,502,82,100,281,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/muqQ2hDV/black#38,,"(500, 600]",g4g7,a1c1,a1f1,g4g7,h2h3
2LyR0,6k1/R4ppp/n1pr1p2/1p6/8/P6P/1P3PPK/8 w - - 0 25,d1d6 a7a8 a6b8 a8b8 d6d8 b8d8,502,84,100,164,backRankMate endgame fork long mate mateIn3,https://lichess.org/AxcVhKO9/black#48,,"(500, 600]",a7a8,h2g1,a7a8,b2b3,h2g3
2XK5P,R7/2p2k2/3b1p2/8/2PR4/1P5P/5rP1/7K b - - 3 40,e4d4 f2f1,502,84,100,106,endgame mate mateIn1 oneMove,https://lichess.org/ANxDWZhs#79,,"(500, 600]",f2f1,f2b2,d6h2,f7e7,f2f1
329YK,3k4/8/3K4/8/1p5R/1n6/2p5/8 w - - 0 62,c3c2 h4h8,502,83,100,329,endgame master mate mateIn1 oneMove,https://lichess.org/fMyDzGJT/black#122,,"(500, 600]",h4h8,h4h8,h4b4,h4f4,h4h5
38r7W,r3k2r/2p1bppp/ppq2n2/3p4/8/2N5/PPPPQPPP/R1B1R1K1 w kq - 0 13,d6c6 e2e7,502,87,100,309,mate mateIn1 middlegame oneMove,https://lichess.org/oWkQnQx5/black#24,,"(500, 600]",e2e7,g2g3,e2e7,g2g4,f2f4
5Ryi5,4rk1q/6p1/5np1/8/P4R2/1Q1P4/1PP3PP/7K b - - 0 33,a2a4 e8e1 f4f1 e1f1,502,93,100,244,endgame mate mateIn2 short,https://lichess.org/OEvxHWdf#65,,"(500, 600]",e8e1,h8h5,h8h7,h8h4,e8e1
75OUR,3r2k1/8/b2r2p1/6Q1/1P6/P5bP/6P1/2R4K b - - 3 34,e7g5 d6d1 c1d1 d8d1,502,83,100,92,endgame mate mateIn2 short,https://lichess.org/leQW7ZOY#67,,"(500, 600]",d6d1,d6d3,d6d1,d6d5,d6d2
7KsEY,6k1/8/3Np1r1/3p3p/3P2nB/1P1RPR2/2r2PP1/6K1 b - - 0 31,d1d3 c2c1 d3d1 c1d1,502,84,100,242,mate mateIn2 middlegame short,https://lichess.org/nV7n97fS#61,,"(500, 600]",c2c1,g6f6,g4e5,c2c1,c2c8
7NEeF,r2q1rk1/1ppb1pp1/p1nbp2p/8/3PQ3/2PB1N2/PP3PPP/R1B2RK1 w - - 0 12,h7h6 e4h7,502,87,100,201,mate mateIn1 oneMove opening,https://lichess.org/Szp88TUF/black#22,Queens_Pawn_Game Queens_Pawn_Game_Colle_System,"(500, 600]",e4h7,g2g4,f3g5,c3c4,e4h7
8hcoz,2R5/p4pbk/4p2p/4P3/1q1BNP2/1P1Rn3/P6P/6K1 b - - 4 29,d1d3 b4e1,502,88,100,553,master mate mateIn1 middlegame oneMove,https://lichess.org/knRjMmvb#57,,"(500, 600]",b4e1,b4e1,b4f8,a7a5,e3c4
9SSou,r5k1/5ppp/p3p3/3pP3/1q6/5Q2/P1P2PPP/4R1K1 b - - 1 22,h5f3 b4e1,502,86,100,96,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/XFYbt9Zh#43,,"(500, 600]",b4e1,b4e1,g8h8,f7f6,b4c5
9hSKW,1R6/5p1k/6p1/4B2p/2b1P3/2br3P/5PP1/6K1 w - - 3 34,g8h7 b8h8,502,84,100,149,endgame mate mateIn1 oneMove,https://lichess.org/sJdXX4Fq/black#66,,"(500, 600]",b8h8,e5f6,b8h8,b8b6,b8d8
9jroR,1q6/4rp1k/2R2Qp1/4r2p/8/5P1P/6P1/2R4K b - - 0 45,h4f6 e5e1 c1e1 e7e1,502,92,100,304,endgame mate mateIn2 short,https://lichess.org/w8KBEKRo#89,,"(500, 600]",e5e1,b8a7,e5e1,b8e8,b8a8
9wDA6,r3k2r/2q2pp1/p3p3/3p4/PPpQ2np/2P1P2P/4NPP1/R4RK1 b kq - 2 23,d1d4 c7h2,502,87,100,275,mate mateIn1 middlegame oneMove,https://lichess.org/4daleQQ8#45,,"(500, 600]",c7h2,c7h2,h8h5,f7f5,c7a5
9ysr5,3r1r1k/2p3pp/8/8/8/8/PP2RPPP/RN4K1 b - - 0 22,e1e2 d8d1 e2e1 d1e1,502,89,100,144,endgame mate mateIn2 short,https://lichess.org/5zvUkz7i#43,,"(500, 600]",d8d1,f8f6,d8e8,d8d1,d8d6
BaTIV,rr4k1/5ppp/3p1p2/2p5/2q5/1R2P2P/1Q3PP1/6K1 w - - 0 31,e8b8 b3b8 a8b8 b2b8,502,83,100,87,backRankMate endgame mate mateIn2 short,https://lichess.org/50mRYvyJ/black#60,,"(500, 600]",b3b8,b2e5,g2g3,b2f6,b3b8
DHFof,8/8/p4R2/1b2kP2/1Pr1P3/P3K3/8/8 w - - 2 47,d6e5 f6e6,502,86,100,289,endgame mate mateIn1 oneMove,https://lichess.org/IqfqbN2Z/black#92,,"(500, 600]",f6e6,f6b6,e3d2,e3d3,f6e6
FDyqr,6k1/RP3p2/3p2p1/3P4/3pP3/5P1p/1P3KRq/4B3 b - - 0 34,g1g2 h2g2,502,84,100,405,endgame mate mateIn1 oneMove,https://lichess.org/SVvoOdYB#67,,"(500, 600]",h2g2,h2h1,g8h7,h2g2,h2g1
FRsHu,r1b4k/ppq1bB1p/2p3p1/8/6n1/2P4P/PP1Q1PP1/R1B2RK1 b - - 2 23,g5d2 c7h2,502,91,100,264,mate mateIn1 middlegame oneMove,https://lichess.org/vErc0n1q#45,,"(500, 600]",c7h2,c7h2,h7h6,g4e3,g4f2
GGCOr,r3k3/pppqpp2/3p2p1/3P4/3Q1BP1/8/PPPK1P2/5r2 w q - 1 18,d8d7 d4h8,502,89,100,40,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/kQH97XVi/black#34,Queens_Pawn_Game Queens_Pawn_Game_Other_variations,"(500, 600]",d4h8,d4h8,b2b4,f4h6,d4e5
GMopK,2b2rk1/p2n1ppp/2Qb4/1B1pq3/8/8/PPP2PPP/RNB2RK1 b - - 0 16,d3b5 e5h2,502,87,100,130,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/pK7LPzQN#31,Sicilian_Defense Sicilian_Defense_Marshall_Counterattack,"(500, 600]",e5h2,e5e6,e5h2,e5g3,e5g5
HgrIA,7k/5r1P/4p1p1/3p4/3PnP1Q/4P2R/1qp4P/6K1 w - - 0 33,f8f7 h4d8 f7f8 d8f8,502,89,100,437,endgame mate mateIn2 short,https://lichess.org/ty60FzKP/black#64,,"(500, 600]",h4d8,h4d8,h3f3,h4f6,f4f5
Hj2iX,5r2/ppp1R3/5Npk/8/7P/8/PPn3P1/5K2 w - - 1 23,a8f8 e7h7,502,86,100,405,endgame mate mateIn1 oneMove,https://lichess.org/h5QMqqcq/black#44,,"(500, 600]",e7h7,e7e6,e7e8,e7h7,a2a4
0XTVP,r1b1k2N/pppp2pp/2n5/2b1p3/2B1P3/3P1p1P/PPP2qP1/RNB3QK b q - 1 12,d1g1 f2g1,503,88,100,283,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/qqiI18O4#23,Italian_Game Italian_Game_Giuoco_Pianissimo,"(500, 600]",f2g1,c5e7,f2g2,f2g1,c6b8
2pxhk,r1b3k1/1ppq2pp/pbn1p1N1/8/P2P4/2P2Q2/2P2PPP/R4RK1 w - - 2 16,f8g8 f3f8,503,90,100,252,mate mateIn1 middlegame oneMove,https://lichess.org/Wg9cmHD6/black#30,Scandinavian_Defense Scandinavian_Defense_Modern_Variation,"(500, 600]",f3f8,a1e1,f3f8,f3d5,f3e2
4Cvte,3r2k1/7p/p3p2p/1p2b3/2p1B3/B3R2P/P5P1/7K b - - 0 33,f3e3 d8d1 e3e1 d1e1,503,82,100,131,endgame mate mateIn2 short,https://lichess.org/W5HWn4cg#65,,"(500, 600]",d8d1,d8d2,e5b2,d8d3,d8d1
5diF8,2r5/kp3ppp/p4n2/2N1r3/1P1q4/P4Q1P/3p1PP1/R2R2K1 w - - 4 30,e2e5 f3b7,503,82,100,107,mate mateIn1 middlegame oneMove,https://lichess.org/gYtniPXT/black#58,,"(500, 600]",f3b7,a1a2,f3b7,h3h4,f3f5
7WeqS,r1b1k1nr/pp3ppp/2N1p3/8/2p2q2/2P5/P1P2PPP/R2QKB1R w KQkq - 0 11,d4f4 d1d8,503,85,100,340,mate mateIn1 middlegame oneMove,https://lichess.org/uCO7wuX8/black#20,Queens_Pawn_Game Queens_Pawn_Game_Krause_Variation,"(500, 600]",d1d8,h1g1,c6b8,d1d8,a1b1
7ZvGY,7k/2p3pp/p7/4n3/5r2/7P/PRB3P1/7K w - - 0 32,f8f4 b2b8 f4f8 b8f8,503,86,100,233,endgame mate mateIn2 short,https://lichess.org/piUaBoyj/black#62,,"(500, 600]",b2b8,c2d3,b2b8,a2a4,c2h7
7c9Ft,r1b1r1k1/ppp2ppp/2n1qB2/8/Q7/6P1/PP2NPBP/3RK2R b K - 0 14,c3f6 e6e2,503,84,100,217,mate mateIn1 middlegame oneMove,https://lichess.org/WJeq3G3A#27,Queens_Gambit_Declined Queens_Gambit_Declined_Albin_Countergambit,"(500, 600]",e6e2,c8d7,e6e2,c6e7,c6d8
8feVK,6k1/8/6K1/3R4/7r/8/8/8 w - - 0 68,e4h4 d5d8,503,84,100,154,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/w0epMbP9/black#134,,"(500, 600]",d5d8,d5d8,d5d6,d5d3,d5d1
AMdZg,3r2k1/2R2pp1/7p/4Q2P/4P3/1b6/1P3PP1/K2R4 b - - 0 32,h1d1 d8d1 c7c1 d1c1,503,82,100,97,endgame mate mateIn2 short,https://lichess.org/qqymSGpl#63,,"(500, 600]",d8d1,b3d1,d8d1,d8a8,d8d2
BgFKn,1b1rr1k1/pp2qppp/8/3p1b2/3Qn3/1P2PN2/PB2BPPP/2R2RK1 w - - 1 17,f6e4 d4g7,503,91,100,290,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/0aGJflg8/black#32,Tarrasch_Defense Tarrasch_Defense_Schara_Gambit,"(500, 600]",d4g7,d4g7,h2h3,c1a1,c1d1
DsK9l,1r1r1k2/p1p2ppp/1p1p4/3Bq3/2P5/P3PQ2/2b2PPP/1R3RK1 w - - 0 19,f5c2 f3f7,503,84,100,301,mate mateIn1 middlegame oneMove,https://lichess.org/D2rPprxY/black#36,Indian_Defense Indian_Defense_Maddigan_Gambit,"(500, 600]",f3f7,f3h5,b1b2,b1e1,f3f7
GuPVT,2br2k1/5ppp/2p1p3/Q7/2B1n3/PP6/5qPP/R6K w - - 0 26,e8d8 a5d8,503,82,100,238,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/Vn7aIIfc/black#50,,"(500, 600]",a5d8,c4d5,a5d2,c4f1,a5d8
H5aCw,r1b2rk1/1p2bppp/p2q4/3p4/3Q1P2/1P6/PBP3PP/2KR1B1R w - - 0 14,d8d6 d4g7,503,84,100,407,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/fcKk6gpG/black#26,Sicilian_Defense Sicilian_Defense_Snyder_Variation,"(500, 600]",d4g7,f4f5,b2a1,f1c4,d4g7
HkpHA,3r2k1/2p2ppp/r7/p1p1p2q/P7/2B2PPb/1PP4P/3RR1K1 w - - 0 29,a8d8 d1d8,503,85,100,129,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/UQAq0cZi/black#56,,"(500, 600]",d1d8,d1d8,c3e5,g1h1,e1e5
0bS7V,1b3rk1/p4ppp/3qpn2/3p4/P1pP4/2P1P3/3NBPPP/3Q1RK1 b - - 4 16,e1g1 d6h2,504,89,100,308,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/sxpCXxhh#31,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System,"(500, 600]",d6h2,d6h2,a7a5,d6a6,g8h8
3dmXm,r2q1r1k/1pp2pp1/3p1N2/p1bNp1p1/P2nP2P/3P4/1P3PP1/3Q1RK1 w - - 0 19,h6g5 d1h5,504,86,100,299,mate mateIn1 middlegame oneMove,https://lichess.org/EsDinWTl/black#36,Vienna_Game Vienna_Game_Stanley_Variation,"(500, 600]",d1h5,f6g4,d5e3,d5c3,d1h5
47D73,r4rk1/p4ppp/b1p1p3/4P3/7Q/2BB3P/q5P1/1N3K1R w - - 1 20,b7a6 h4h7,504,84,100,164,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/wED2NNvB/black#38,,"(500, 600]",h4h7,h4e4,d3a6,h4h7,h1g1
4HDy1,3bqrk1/pp4pp/2p5/8/2P1pNn1/1PQ1P3/PB3PP1/R5K1 w - - 0 22,f6g4 c3g7,504,85,100,354,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/XmBX6SsR/black#42,,"(500, 600]",c3g7,f4e2,b2c1,c3g7,a1b1
4rTCL,r1b1nk1r/p1b2p2/2p5/8/2BP1Qpp/1NP2p2/P4PPP/5NK1 w - - 0 24,f6e8 f4f7,504,82,100,166,mate mateIn1 middlegame oneMove,https://lichess.org/jdcHg6D2/black#46,,"(500, 600]",f4f7,f4f7,b3a5,f1g3,h2h3
5Tuhx,6k1/3R1ppp/8/2rn4/4b3/4PpP1/3n1P1P/3R2K1 w - - 0 28,c8c5 d7d8,504,80,100,131,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/w7ovWjLF/black#54,,"(500, 600]",d7d8,g3g4,d7d8,h2h3,h2h4
5VSSl,r1b2rk1/pp1q1ppp/2p5/3p4/3P1n1P/3Q1N2/PPB2PP1/2R1R1K1 w - - 1 17,g6f4 d3h7,504,86,100,178,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/CipFrBQJ/black#32,Ruy_Lopez Ruy_Lopez_Classical_Variation,"(500, 600]",d3h7,f3d2,g1h1,d3e2,d3h7
67mMG,1r3rk1/6b1/p1ppb1p1/4p1P1/4N3/4B3/qPPQB3/2KR3R b - - 1 22,b1c1 a2b2,504,83,100,349,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/qmxXHrzL#43,,"(500, 600]",a2b2,a2b2,a2a4,g8f7,e6c8
7luQv,3r2k1/4p2p/4bppB/p7/2P5/1r5P/6PK/3R4 w - - 0 35,a8d8 d1d8 g8f7 d8f8,504,89,100,230,endgame mate mateIn2 short,https://lichess.org/eGELXuaE/black#68,,"(500, 600]",d1d8,d1d8,h6e3,h2h1,c4c5
804H3,5k2/6pp/1b3p2/Np5B/1P6/r1pn4/3r1PPP/2R1R1K1 w - - 5 35,e5d3 e1e8,504,87,100,327,mate mateIn1 middlegame oneMove,https://lichess.org/a1nzigGn/black#68,,"(500, 600]",e1e8,g2g3,e1e8,e1e7,e1e4
8VS4D,5b1r/pkp1pppp/5n2/4N3/2P3b1/3r4/PP3PPP/RNB1K2R b KQ - 1 12,f3e5 d3d1,504,85,100,372,mate mateIn1 middlegame oneMove,https://lichess.org/Vx5dyCli#23,Scandinavian_Defense Scandinavian_Defense_Portuguese_Variation,"(500, 600]",d3d1,b7b6,d3d1,d3c3,h8g8
AbafH,8/5k2/2pb4/3p2R1/1r1PbpN1/6P1/4RP1P/6K1 b - - 0 42,g8g5 b4b1 e2e1 b1e1,504,80,100,260,endgame mate mateIn2 short,https://lichess.org/DHgHH2AS#83,,"(500, 600]",b4b1,b4a4,b4b7,e4d3,b4b1
AhRXE,r2qkbnr/pp1np1p1/2p1p2p/3p3P/3P2P1/3Q1P2/PPP5/RNB1K1NR w KQkq - 1 11,b8d7 d3g6,504,91,100,142,mate mateIn1 oneMove opening,https://lichess.org/U2awBBkn/black#20,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation,"(500, 600]",d3g6,d3g6,g1h3,d3a3,c1e3
E2sNd,r1b3kr/pppp1p1p/7B/2nN1N2/3n2q1/8/PPPK1bPP/R4B1R w - - 0 15,h4g4 d5f6,504,82,100,380,mate mateIn1 middlegame oneMove,https://lichess.org/46fKkUHE/black#28,Four_Knights_Game Four_Knights_Game_Scotch_Variation,"(500, 600]",d5f6,f1a6,d5f6,f1c4,f5g3
EMYF3,2kr3r/1bp2pp1/p3p3/1p2P2p/8/1P6/P1P1RPPP/R1B3K1 b - - 1 22,b2c1 d8d1 e2e1 d1e1,504,88,100,81,endgame kingsideAttack mate mateIn2 short,https://lichess.org/g35yNPTo#43,,"(500, 600]",d8d1,d8e8,h8g8,d8d1,h8f8
FRcNF,8/1q6/2R4n/3P2p1/P5Pk/1P5P/5PK1/8 w - - 0 41,g8h6 c6h6,504,100,100,372,endgame mate mateIn1 oneMove,https://lichess.org/MW3CDZnM/black#80,,"(500, 600]",c6h6,c6e6,g2h1,c6h6,c6c1
HCLuH,2r3k1/p3Q1pp/1p2b3/4Np2/Rn1PpB2/2r1P3/5PPP/1R4K1 b - - 0 24,a1a4 c3c1 b1c1 c8c1,504,85,100,150,backRankMate mate mateIn2 middlegame short,https://lichess.org/s7lfwtYO#47,,"(500, 600]",c3c1,g7g6,h7h6,b4d3,c3c1
HRUIL,r6k/pp1r2pp/1n3p2/3q4/2p1B1Q1/4PPRP/PPP2P2/1K4R1 b - - 1 23,d3e4 d5d1 g1d1 d7d1,504,84,100,200,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/H00aRRBt#45,,"(500, 600]",d5d1,d5d1,a8b8,d5e6,d5f7
IPH14,r3kbnr/1b1p2pp/2qPp3/p1p1N3/Nn6/1PQ5/P3BPPP/R1B2RK1 b kq - 0 15,f3e5 c6g2,504,83,100,76,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/hNrkv6qL#29,French_Defense French_Defense_Normal_Variation,"(500, 600]",c6g2,g8e7,g8f6,c6g2,g7g5
0e6mX,2kr4/1p3p2/p1p1pN1r/4P3/2Q5/6Pp/5P1P/1Rn4K b - - 0 30,e4c4 d8d1 c4f1 d1f1,505,81,100,113,endgame mate mateIn2 short,https://lichess.org/GSR5wIff#59,,"(500, 600]",d8d1,d8f8,c1d3,d8d1,h6g6
190lL,2kq4/P1p3p1/1pQ4p/8/3rp3/6P1/5PP1/R4K1R b - - 0 30,a6a7 d4d1 a1d1 d8d1,505,86,100,291,endgame mate mateIn2 short,https://lichess.org/scqepPZB#59,,"(500, 600]",d4d1,d4d7,d4d1,d8h4,d4b4
1KDtQ,5N2/8/4R1pk/5p1p/8/6P1/5nPK/r7 w - - 0 73,e4f2 e6g6,505,86,100,317,endgame mate mateIn1 oneMove,https://lichess.org/umkxGBQ9/black#144,,"(500, 600]",e6g6,e6e8,e6e1,e6e2,e6g6
2N7fD,8/3R4/6p1/6pk/1r6/6K1/8/8 w - - 0 44,g7g6 d7h7,505,88,100,148,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/Y5wM3Pn5/black#86,,"(500, 600]",d7h7,d7h7,d7d5,d7e7,g3h3
36IMk,r4rk1/pp3pp1/1qn2b1p/3R4/Q3P3/7N/PP3PPP/1K3B1R b - - 2 15,g1h3 b6b2,505,85,100,312,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/2vb1Cd0f#29,Tarrasch_Defense Tarrasch_Defense_Schara_Gambit,"(500, 600]",b6b2,f6e5,a8b8,b6b2,b6e3
3O3kc,1k3b1N/ppp3pp/8/4p3/1n1q2n1/3P4/P1P3PP/R4R1K w - - 0 22,d6f8 f1f8 d4d8 f8d8,505,86,100,224,backRankMate mate mateIn2 middlegame short,https://lichess.org/cQBqU53F/black#42,,"(500, 600]",f1f8,f1e1,h8g6,a2a3,f1f8
679YE,r5k1/p1q2pp1/5n1p/2p5/2Bp4/5bP1/PPPQ1N2/R4RK1 b - - 0 22,h2g3 c7g3,505,86,100,317,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/5EQxgLAQ#43,,"(500, 600]",c7g3,f3g2,c7d6,f3d5,c7g3
6GLlV,4kbnr/pp2pppp/8/1q6/4P3/4B3/PP3PPP/2Q1K2R w Kk - 0 18,d7b5 c1c8,505,101,100,44,mate mateIn1 middlegame oneMove,https://lichess.org/I5cQ7kWl/black#34,Slav_Defense Slav_Defense_Modern_Line,"(500, 600]",c1c8,c1d2,e3f4,c1c4,c1c8
