FEN1,Moves,FEN2,GPT_FEN
3r1r2/1b1qn1k1/p3ppp1/1p2Q3/2p5/P1P2N2/1P2NPP1/RB2K2R w KQ - 0 23,e5e3,3r1r2/1b1qn1k1/p3ppp1/1p6/2p5/P1P1QN2/1P2NPP1/RB2K2R b KQ - 1 23,3r1r2/1b1qn1k1/p3ppp1/1p6/2p5/P1P1QN2/1P2NPP1/RB2K2R b KQ - 0 24
8/8/8/6p1/8/P3K3/7k/8 w - - 0 48,a3a4,8/8/8/6p1/P7/4K3/7k/8 b - - 0 48,8/8/8/6p1/8/P3K3/7k/8 w - - 0 48
5rk1/pp4pp/8/8/4q3/1PP3P1/P4N1P/3QnR1K w - - 6 33,f2e4,5rk1/pp4pp/8/8/4N3/1PP3P1/P6P/3QnR1K b - - 0 33,5rk1/pp4pp/8/8/4N3/1PP3P1/P3q2P/3QnR1K b - - 7 33
6k1/5p2/p7/1P6/P7/2P2R1p/6NP/3r3K w - - 1 41,g2e1,6k1/5p2/p7/1P6/P7/2P2R1p/7P/3rN2K b - - 2 41,6k1/5p2/p7/1P6/P7/2P2R1p/4N1P1/3r1K2 w - - 2 41
1n4k1/r4p1p/b2p1qpB/p2P4/B7/7P/4QPP1/2R3K1 b - - 1 28,a6e2,1n4k1/r4p1p/3p1qpB/p2P4/B7/7P/4bPP1/2R3K1 w - - 0 29,1n4k1/r4p1p/3p1qpB/p2P4/8/7P/4bPP1/2R3K1 w - - 0 29
r5k1/5pp1/1p2p2p/8/2qP4/4P3/5PPP/2R3K1 w - - 0 29,c1c4,r5k1/5pp1/1p2p2p/8/2RP4/4P3/5PPP/6K1 b - - 0 29,r5k1/5pp1/1p2p2p/8/2RP4/4P3/5PPP/6K1 b - - 1 29
2kr2nr/1pp2ppp/p2P4/1N6/4P1b1/8/PPP2PPP/R1B1K2R w KQ - 0 13,d6c7,2kr2nr/1pP2ppp/p7/1N6/4P1b1/8/PPP2PPP/R1B1K2R b KQ - 0 13,2krN1nr/1pp2ppp/p7/1N6/4P1b1/8/PPP2PPP/R1B1K2R b KQ - 0 13
rn1r2k1/5ppp/b1p5/3p4/pp1P1PPn/4R2P/PPP1N3/2K2B1R b - - 2 18,d8e8,rn2r1k1/5ppp/b1p5/3p4/pp1P1PPn/4R2P/PPP1N3/2K2B1R w - - 3 19,rn2r1k1/5ppp/b1p5/3p4/pp1P1PPn/4R2P/PPP1N3/2K2B1R b - - 3 18
k1Q4r/pp3p2/8/4P3/5P2/6Pp/PP4bK/2R5 b - - 3 41,h8c8,k1r5/pp3p2/8/4P3/5P2/6Pp/PP4bK/2R5 w - - 0 42,k1r5/pp3p2/8/4P3/5P2/6Pp/PP4bK/2R5 b - - 4 41
4rk2/pp3ppp/2pq1rN1/8/4Q3/2P5/PP4PP/4R1K1 b - - 5 27,h7g6,4rk2/pp3pp1/2pq1rp1/8/4Q3/2P5/PP4PP/4R1K1 w - - 0 28,4rk2/pp3p1p/2pq1rp1/8/4Q3/2P5/PP4PP/4R1K1 b - - 0 28
1k1r4/1pp3bp/p5p1/8/4R3/3RB3/PP3PPP/6K1 b - - 0 25,d8d3,1k6/1pp3bp/p5p1/8/4R3/3rB3/PP3PPP/6K1 w - - 0 26,1k6/1pp3bp/p5p1/8/4R3/3rB3/PP3PPP/6K1 w - - 0 26
3r3k/5B1p/5p2/8/1P5n/8/Q4PPP/2Rq2K1 w - - 1 29,c1d1,3r3k/5B1p/5p2/8/1P5n/8/Q4PPP/3R2K1 b - - 0 29,3r3k/5B1p/5p2/8/1P5n/8/Q4PPP/3R2K1 b - - 2 29
3q1k2/1p3pp1/3R4/1B5p/Pp2Q3/2b4P/6P1/7K b - - 0 32,d8d6,5k2/1p3pp1/3q4/1B5p/Pp2Q3/2b4P/6P1/7K w - - 0 33,3q1k2/1p3pp1/3q4/1B5p/Pp2Q3/2b4P/6P1/7K w - - 1 33
6kQ/2q2r1p/p1p3pP/1p1p2P1/P7/1KP5/8/4R3 b - - 1 36,g8h8,7k/2q2r1p/p1p3pP/1p1p2P1/P7/1KP5/8/4R3 w - - 0 37,7k/2q2r1p/p1p3pP/1p1p2P1/P7/1KP5/8/4R3 b - - 2 36
6k1/2p1rp2/8/P2p2p1/8/1P4Pp/2Q2P1P/2R1q1K1 w - - 2 32,c1e1,6k1/2p1rp2/8/P2p2p1/8/1P4Pp/2Q2P1P/4R1K1 b - - 0 32,6k1/2p1rp2/8/P2p2p1/8/1P4Pp/2Q2P1P/4R1qK1 w - - 3 33
5rk1/1p3ppp/1qn1p3/p2pP1b1/P2P4/1N1QP2P/1P4P1/1BR3K1 b - - 6 22,c6b4,5rk1/1p3ppp/1q2p3/p2pP1b1/Pn1P4/1N1QP2P/1P4P1/1BR3K1 w - - 7 23,5rk1/1p3ppp/1q2p3/pn1pP1b1/P2P4/1N1QP2P/1P4P1/1BR3K1 b - - 7 22
2r3k1/1p3p1p/6p1/3p4/8/4P3/3R1PPP/1Rr3K1 w - - 1 24,b1c1,2r3k1/1p3p1p/6p1/3p4/8/4P3/3R1PPP/2R3K1 b - - 0 24,2r3k1/1p3p1p/6p1/3p4/8/4P3/3R1PPP/2R3K1 b - - 2 24
6k1/R1pr1ppp/1p6/2P1P3/2n2B2/2P4P/5PP1/6K1 b - - 0 22,b6c5,6k1/R1pr1ppp/8/2p1P3/2n2B2/2P4P/5PP1/6K1 w - - 0 23,6k1/R1pr1ppp/8/2p1P3/2n2B2/2P4P/5PP1/6K1 b - - 0 23
6k1/5ppp/3p4/2rP1b2/P7/1R4P1/5K1P/8 b - - 0 39,c5d5,6k1/5ppp/3p4/3r1b2/P7/1R4P1/5K1P/8 w - - 0 40,6k1/5ppp/3p4/3r1b2/P7/1R4P1/5K1P/8 w - - 0 40
4r1k1/2R3p1/5p1p/8/7N/3n2n1/6PP/N4K2 w - - 1 38,h2g3,4r1k1/2R3p1/5p1p/8/7N/3n2P1/6P1/N4K2 b - - 0 38,4r1k1/2R3p1/5p1p/8/7N/3n2P1/6P1/N4K2 w - - 0 39
r3R1k1/1pp3rq/pbp3N1/4Q3/3P4/6P1/PP3P2/RN4K1 b - - 6 26,a8e8,4r1k1/1pp3rq/pbp3N1/4Q3/3P4/6P1/PP3P2/RN4K1 w - - 0 27,4r1k1/1pp3rq/pbp3N1/4Q3/3P4/6P1/PP3P2/RN4K1 b - - 7 27
2kr4/pp3p1p/2pbpQ2/3q4/P2P4/2P2NP1/1P3P2/R4K2 b - - 0 20,c8b8,1k1r4/pp3p1p/2pbpQ2/3q4/P2P4/2P2NP1/1P3P2/R4K2 w - - 1 21,1kr5/pp3p1p/2pbpQ2/3q4/P2P4/2P2NP1/1P3P2/R4K2 b - - 1 20
5rk1/6p1/p3p3/7Q/6P1/bP5P/P1P5/1K6 w - - 0 31,h5a5,5rk1/6p1/p3p3/Q7/6P1/bP5P/P1P5/1K6 b - - 1 31,5rk1/6p1/p3p3/3Q4/6P1/bP5P/P1P5/1K6 b - - 1 31
2r2Q1k/2r3p1/2p4p/1p2p3/P2qB3/3P4/6PP/2R2R1K b - - 1 31,c8f8,5r1k/2r3p1/2p4p/1p2p3/P2qB3/3P4/6PP/2R2R1K w - - 0 32,2r2rk1/2r3p1/2p4p/1p2p3/P2qB3/3P4/6PP/2R2R1K b - - 2 31
2k4r/ppb2pp1/2brpn1p/2R5/8/P6P/BPPN1PP1/R1B3K1 w - - 1 18,d2c4,2k4r/ppb2pp1/2brpn1p/2R5/2N5/P6P/BPP2PP1/R1B3K1 b - - 2 18,2k4r/ppb2pp1/2brpn1p/2R5/2N5/P6P/BPP2PP1/R1B3K1 b - - 0 18
8/p4k2/R6p/R5p1/4p3/4n1P1/P1r2P1P/6rK w - - 0 34,h1g1,8/p4k2/R6p/R5p1/4p3/4n1P1/P1r2P1P/6K1 b - - 0 34,8/p4k2/R6p/R5p1/4p3/4n1P1/P1r2P1P/6K1 b - - 1 34
1r1R2b1/2p2k2/2N5/p7/8/2B1P3/PP3rP1/K7 w - - 4 38,d8b8,1R4b1/2p2k2/2N5/p7/8/2B1P3/PP3rP1/K7 b - - 0 38,1R1R2b1/2p2k2/2N5/p7/8/2B1P3/PP3rP1/K7 w - - 5 39
6k1/2p2p1p/3r2p1/4b1Bn/Q7/1N1q1B1P/P4PP1/5RK1 w - - 9 27,f1d1,6k1/2p2p1p/3r2p1/4b1Bn/Q7/1N1q1B1P/P4PP1/3R2K1 b - - 10 27,6k1/2p2p1p/3r2p1/4b1Bn/Q7/1N1q1B1P/P4PP1/3R2K1 w - - 10 28
6k1/3Qr2p/4q1pB/1p6/5R2/7P/5PPK/8 b - - 0 44,e6d7,6k1/3qr2p/6pB/1p6/5R2/7P/5PPK/8 w - - 0 45,6k1/3qbr1p/6pB/1p6/5R2/7P/5PPK/8 w - - 0 45
4rBk1/1p6/p2p1r2/8/8/2P5/PP4PP/5R1K w - - 0 29,f1f6,4rBk1/1p6/p2p1R2/8/8/2P5/PP4PP/7K b - - 0 29,4rBk1/1p6/p2p1R2/8/8/2P5/PP4PP/7K1 w - - 0 30
2r3k1/pp3ppp/5n2/4p3/8/1N2P3/PP3PPP/3R2K1 b - - 1 20,c8c2,6k1/pp3ppp/5n2/4p3/8/1N2P3/PPr2PPP/3R2K1 w - - 2 21,2r3k1/pp3ppp/5n2/4p3/8/1N2P3/PPr3PP/3R2K1 w - - 2 21
6k1/p4ppp/1p6/3R4/3Pn3/4PB1P/P4PPK/2r5 b - - 2 23,e4f2,6k1/p4ppp/1p6/3R4/3P4/4PB1P/P4nPK/2r5 w - - 0 24,6k1/p4ppp/1p6/3R4/3P4/4PB1P/P3nPPK/2r5 w - - 0 24
2k2r2/ppp1R3/3p2p1/8/3P4/2P5/PP4PP/4Rq1K w - - 5 31,e1f1,2k2r2/ppp1R3/3p2p1/8/3P4/2P5/PP4PP/5R1K b - - 0 31,2k2r2/ppp1R3/3p2p1/8/3P4/2P5/PP3RPP/5q1K b - - 6 31
4r2k/2N3pp/8/3p4/1Pb5/r1P2pP1/5P1P/R5K1 w - - 0 36,a1a3,4r2k/2N3pp/8/3p4/1Pb5/R1P2pP1/5P1P/6K1 b - - 0 36,4r2k/2N3pp/8/3p4/1Pb5/r1P2pP1/R4P1P/6K1 w - - 0 37
6k1/1p4pp/p1pp2r1/4b3/2Pp1B2/PP1P1Pqb/4Q1P1/4RRK1 b - - 0 28,e5f4,6k1/1p4pp/p1pp2r1/8/2Pp1b2/PP1P1Pqb/4Q1P1/4RRK1 w - - 0 29,6k1/1p4pp/p1pp2r1/8/2Pp1b2/PP1P1Pqb/4Q1P1/4RRK1 b - - 0 29
4r1k1/R4p1p/6p1/p2P4/8/2bP2PP/5PB1/6K1 w - - 2 30,g1f1,4r1k1/R4p1p/6p1/p2P4/8/2bP2PP/5PB1/5K2 b - - 3 30,4r1k1/R4p1p/6p1/p2P4/8/2bP2PP/5PB1/5K2 w - - 3 31
4r1k1/B2R2pp/p7/8/6P1/6b1/P5P1/5rK1 w - - 0 35,g1f1,4r1k1/B2R2pp/p7/8/6P1/6b1/P5P1/5K2 b - - 0 35,4r1k1/B2R2pp/p7/8/6P1/6b1/P5P1/5K2 b - - 1 35
r3r1k1/ppp2ppp/2p2q2/3b4/8/2QP2R1/PPP2PPP/R1B3K1 w - - 5 18,c3f6,r3r1k1/ppp2ppp/2p2Q2/3b4/8/3P2R1/PPP2PPP/R1B3K1 b - - 0 18,r3r1k1/ppp2ppp/2p5/3b4/8/2QP2R1/PPP2PPP/R1B3K1 b - - 0 18
6k1/p4pp1/n6p/8/1q6/1P3B2/PQ3PPP/3Rr1K1 w - - 1 26,d1e1,6k1/p4pp1/n6p/8/1q6/1P3B2/PQ3PPP/4R1K1 b - - 0 26,6k1/p4pp1/n6p/8/1q6/1P3B2/PQ3PPP/4R1K1 b - - 2 26
2r3k1/5ppp/p1b1R3/1p6/8/1B6/PPP2PPP/6K1 b - - 0 23,f7e6,2r3k1/6pp/p1b1p3/1p6/8/1B6/PPP2PPP/6K1 w - - 0 24,2r3k1/4p1pp/p1b1p3/1p6/8/1B6/PPP2PPP/6K1 b - - 0 24
3r2k1/5pp1/p6p/8/8/2q5/P4PPP/4Q1K1 w - - 0 27,e1c3,3r2k1/5pp1/p6p/8/8/2Q5/P4PPP/6K1 b - - 0 27,3r2k1/5pp1/p6p/8/8/2Q5/P4PPP/6K1 b - - 1 27
r1b2k1r/bpp2ppp/p2q3n/P7/1BB5/1N3N2/5PPP/R2Q1RK1 b - - 0 16,d6b4,r1b2k1r/bpp2ppp/p6n/P7/1qB5/1N3N2/5PPP/R2Q1RK1 w - - 0 17,r1b2k1r/bpp2ppp/p7/P7/1Bq5/1N3N2/5PPP/R2Q1RK1 w - - 0 17
6rk/6rp/6q1/4Bp2/PP2p3/4Q3/5PPP/5RK1 w - - 3 37,b4b5,6rk/6rp/6q1/1P2Bp2/P3p3/4Q3/5PPP/5RK1 b - - 0 37,6rk/6rp/6q1/1P2Bp2/P3p3/4Q3/5PPP/5RK1 b - - 0 37
8/6rk/2R1pr1p/4Npq1/3Q4/8/PPP2PPP/4R1K1 w - - 6 31,e5f3,8/6rk/2R1pr1p/5pq1/3Q4/5N2/PPP2PPP/4R1K1 b - - 7 31,8/6rk/2R1pr1p/4pq1/3Q4/5N2/PPP2PPP/4R1K1 b - - 7 31
8/p4q1k/3b2pp/8/1P1p2P1/P2P3P/2r3Q1/2B4K w - - 0 41,g2c2,8/p4q1k/3b2pp/8/1P1p2P1/P2P3P/2Q5/2B4K b - - 0 41,8/p4q1k/3b2pp/8/1P1p2P1/P2P3P/2Q4P/2B4K b - - 0 41
3r2k1/p3Rppp/1p2b3/3QPp2/3B1P2/8/6PP/6K1 b - - 0 28,d8d5,6k1/p3Rppp/1p2b3/3rPp2/3B1P2/8/6PP/6K1 w - - 0 29,3r1k2/p3Rppp/1p2b3/3rPp2/3B1P2/8/6PP/6K1 w - - 1 29
8/8/R7/6r1/P2p4/3k4/8/3K4 w - - 1 54,a6a8,R7/8/8/6r1/P2p4/3k4/8/3K4 b - - 2 54,R7/8/8/6r1/P2p4/3k4/8/3K4 w - - 0 55
8/P2k1ppp/8/1P6/8/2rp4/1R3PPP/5K2 w - - 0 35,a7a8q,Q7/3k1ppp/8/1P6/8/2rp4/1R3PPP/5K2 b - - 0 35,Q7/3k1ppp/8/1P6/8/2rp4/1R3PPP/5K2 b - - 0 35
4qbk1/2pr3p/Q5p1/1N1p4/3B4/1P6/P4pPP/5R1K w - - 0 27,f1f2,4qbk1/2pr3p/Q5p1/1N1p4/3B4/1P6/P4RPP/7K b - - 0 27,4qbk1/2pr3p/Q5p1/1N1p4/3B4/1P6/P4RP1/7K w - - 0 28
2k5/1pp2ppp/p3p3/2Q5/8/5q2/PPP4P/1K1rR3 w - - 2 25,e1d1,2k5/1pp2ppp/p3p3/2Q5/8/5q2/PPP4P/1K1R4 b - - 0 25,2k5/1pp2ppp/p3p3/2Q5/8/5q2/PPP4P/1K1R4 b - - 3 25
8/3R1ppk/2p4p/r1P1N3/8/4B3/5PPP/6K1 w - - 0 31,e5c6,8/3R1ppk/2N4p/r1P5/8/4B3/5PPP/6K1 b - - 0 31,8/3R1ppk/2Nb4/r1P5/8/4B3/5PPP/6K1 w - - 0 32
3r2k1/p4ppp/5n2/8/3n4/PP1PR3/2r3PP/4Q1K1 b - - 1 27,f6g4,3r2k1/p4ppp/8/8/3n2n1/PP1PR3/2r3PP/4Q1K1 w - - 2 28,3r2k1/p4ppp/8/8/3n2n1/PP1PR3/2r3PP/4Q1K1 b - - 0 28
r3Q1k1/pp3prp/1n4p1/3q4/8/1P6/P2N1PPP/R3R1K1 b - - 5 21,a8e8,4r1k1/pp3prp/1n4p1/3q4/8/1P6/P2N1PPP/R3R1K1 w - - 0 22,4r1k1/pp3prp/1n4p1/3q4/8/1P6/P2N1PPP/R3R1K1 w - - 6 22
3r2k1/Qp1r1ppp/2p1pb2/2B5/4P3/2P5/PP3PPP/1q2R1K1 w - - 0 22,e1b1,3r2k1/Qp1r1ppp/2p1pb2/2B5/4P3/2P5/PP3PPP/1R4K1 b - - 0 22,3r2k1/Qp1r1ppp/2p1pb2/2B5/4P3/2P5/PP3PPP/1R4K1 b - - 1 22
5rk1/pp3rp1/2p3Q1/8/P7/4n3/1P3PPP/6K1 w - - 0 30,f2e3,5rk1/pp3rp1/2p3Q1/8/P7/4P3/1P4PP/6K1 b - - 0 30,5rk1/pp3rp1/2p3Q1/8/P7/4P3/1P4PP/6K1 b - - 0 30
1r3Q1k/2p3p1/1p5p/p3P3/P2PB1P1/2P4q/8/5RK1 b - - 1 30,b8f8,5r1k/2p3p1/1p5p/p3P3/P2PB1P1/2P4q/8/5RK1 w - - 0 31,1r3r1k/2p3p1/1p5p/p3P3/P2PB1P1/2P4q/8/5RK1 w - - 2 31
r2n4/pp2Qrkp/3p2p1/2p1p3/3bP3/2NP4/PPP3PP/R1B4K w - - 1 19,e7d6,r2n4/pp3rkp/3Q2p1/2p1p3/3bP3/2NP4/PPP3PP/R1B4K b - - 0 19,r2n4/pp3rkp/3Q2p1/2p1p3/3bP3/2NP4/PPP3PP/R1B4K b - - 0 19
3R2k1/5ppp/pQp2b2/4q3/8/8/PPP3PP/1K6 b - - 3 23,f6d8,3b2k1/5ppp/pQp5/4q3/8/8/PPP3PP/1K6 w - - 0 24,3bR1k1/5ppp/pQp5/4q3/8/8/PPP3PP/1K6 b - - 4 23
Model Accuracy,,9.333333333333334,
